"","surp_p_val","prev_surp_p_val","converged","has_preview_condition","reread_condition","linear","additive_model"
"1",3.56233547173853e-180,2.77346198751711e-20,TRUE,"Gathering",0,"linear",TRUE
"2",7.4629772017093e-173,3.81368045645376e-24,TRUE,"Gathering",0,"linear",TRUE
"3",8.73538601567032e-178,3.66670877371425e-20,TRUE,"Gathering",0,"linear",TRUE
"4",8.96292090566823e-190,1.52679140424354e-21,TRUE,"Gathering",0,"linear",TRUE
"5",6.06676088670714e-186,6.61168331110495e-30,TRUE,"Gathering",0,"linear",TRUE
"6",2.36979103867029e-214,3.89020439274e-28,TRUE,"Gathering",0,"linear",TRUE
"7",4.120594653828e-175,1.46112042243285e-21,TRUE,"Gathering",0,"linear",TRUE
"8",8.37035447804148e-183,1.67381809281327e-19,TRUE,"Gathering",0,"linear",TRUE
"9",3.351073271454e-176,6.17814367396671e-31,TRUE,"Gathering",0,"linear",TRUE
"10",2.43280448512372e-191,1.43821293774229e-21,TRUE,"Gathering",0,"linear",TRUE
"11",0,0,TRUE,"Gathering",0,"nonlinear",TRUE
"12",0,0,TRUE,"Gathering",0,"nonlinear",TRUE
"13",0,0,TRUE,"Gathering",0,"nonlinear",TRUE
"14",0,0,TRUE,"Gathering",0,"nonlinear",TRUE
"15",0,0,TRUE,"Gathering",0,"nonlinear",TRUE
"16",0,0,TRUE,"Gathering",0,"nonlinear",TRUE
"17",0,0,TRUE,"Gathering",0,"nonlinear",TRUE
"18",0,0,TRUE,"Gathering",0,"nonlinear",TRUE
"19",0,0,TRUE,"Gathering",0,"nonlinear",TRUE
"20",0,0,TRUE,"Gathering",0,"nonlinear",TRUE
"21",1.09669817830129e-112,1.40206633956356e-33,TRUE,"Hunting",0,"linear",TRUE
"22",2.220106112835e-124,9.62342412803714e-40,TRUE,"Hunting",0,"linear",TRUE
"23",1.16440487382104e-121,5.0703832806072e-37,TRUE,"Hunting",0,"linear",TRUE
"24",1.47031820792543e-111,9.42363397999122e-34,TRUE,"Hunting",0,"linear",TRUE
"25",1.60353879418861e-126,5.07316908454017e-31,TRUE,"Hunting",0,"linear",TRUE
"26",1.87715697651422e-125,4.4408531718547e-33,TRUE,"Hunting",0,"linear",TRUE
"27",9.78564284240846e-140,1.02306014419704e-43,TRUE,"Hunting",0,"linear",TRUE
"28",6.98997012997265e-117,3.02819994087945e-34,TRUE,"Hunting",0,"linear",TRUE
"29",1.9636160796112e-136,3.26895030137669e-33,TRUE,"Hunting",0,"linear",TRUE
"30",3.51691913136577e-141,1.1729735276825e-34,TRUE,"Hunting",0,"linear",TRUE
"31",0,0,TRUE,"Hunting",0,"nonlinear",TRUE
"32",0,0,TRUE,"Hunting",0,"nonlinear",TRUE
"33",0,0,TRUE,"Hunting",0,"nonlinear",TRUE
"34",0,0,TRUE,"Hunting",0,"nonlinear",TRUE
"35",0,0,TRUE,"Hunting",0,"nonlinear",TRUE
"36",0,0,TRUE,"Hunting",0,"nonlinear",TRUE
"37",0,0,TRUE,"Hunting",0,"nonlinear",TRUE
"38",0,0,TRUE,"Hunting",0,"nonlinear",TRUE
"39",0,0,TRUE,"Hunting",0,"nonlinear",TRUE
"40",0,0,TRUE,"Hunting",0,"nonlinear",TRUE
