"","surp_p_val","prev_surp_p_val","converged","has_preview_condition","reread_condition","linear","additive_model"
"1",2.31966486858747e-176,9.55214713364892e-23,TRUE,"Gathering",0,"linear",TRUE
"2",4.34704307793572e-169,5.07004141006621e-28,TRUE,"Gathering",0,"linear",TRUE
"3",2.73756020866401e-186,1.95642478183505e-30,TRUE,"Gathering",0,"linear",TRUE
"4",8.75261890539793e-193,9.39868612272368e-22,TRUE,"Gathering",0,"linear",TRUE
"5",5.98421039696613e-191,1.04576969999214e-28,TRUE,"Gathering",0,"linear",TRUE
"6",1.29149649135573e-162,1.71570941702401e-35,TRUE,"Gathering",0,"linear",TRUE
"7",2.34461651961806e-144,1.18315165202818e-24,TRUE,"Gathering",0,"linear",TRUE
"8",2.02555693704957e-197,4.6487875336781e-28,TRUE,"Gathering",0,"linear",TRUE
"9",1.23692438411265e-163,3.65617695889722e-24,TRUE,"Gathering",0,"linear",TRUE
"10",3.87711128862688e-175,3.47091421854103e-21,TRUE,"Gathering",0,"linear",TRUE
"11",0,0,TRUE,"Gathering",0,"nonlinear",TRUE
"12",0,0,TRUE,"Gathering",0,"nonlinear",TRUE
"13",0,0,TRUE,"Gathering",0,"nonlinear",TRUE
"14",0,0,TRUE,"Gathering",0,"nonlinear",TRUE
"15",0,0,TRUE,"Gathering",0,"nonlinear",TRUE
"16",0,0,TRUE,"Gathering",0,"nonlinear",TRUE
"17",0,0,TRUE,"Gathering",0,"nonlinear",TRUE
"18",0,0,TRUE,"Gathering",0,"nonlinear",TRUE
"19",0,0,TRUE,"Gathering",0,"nonlinear",TRUE
"20",0,0,TRUE,"Gathering",0,"nonlinear",TRUE
"21",6.47057526648102e-115,1.08763314442266e-26,TRUE,"Hunting",0,"linear",TRUE
"22",1.00146972873157e-99,2.00434341295501e-35,TRUE,"Hunting",0,"linear",TRUE
"23",1.37075215784593e-125,9.36027141211243e-33,TRUE,"Hunting",0,"linear",TRUE
"24",6.19491547887743e-105,4.70637388664514e-36,TRUE,"Hunting",0,"linear",TRUE
"25",5.0977101038694e-115,5.46313380079698e-33,TRUE,"Hunting",0,"linear",TRUE
"26",8.52606110455627e-118,8.70947110660755e-29,TRUE,"Hunting",0,"linear",TRUE
"27",2.7874416575423e-121,1.3948484509421e-32,TRUE,"Hunting",0,"linear",TRUE
"28",2.6632052026536e-125,4.78665464772102e-37,TRUE,"Hunting",0,"linear",TRUE
"29",2.50215958902814e-124,4.62647025107468e-39,TRUE,"Hunting",0,"linear",TRUE
"30",9.84593349118049e-111,1.95092743885616e-33,TRUE,"Hunting",0,"linear",TRUE
"31",0,0,TRUE,"Hunting",0,"nonlinear",TRUE
"32",0,0,TRUE,"Hunting",0,"nonlinear",TRUE
"33",0,0,TRUE,"Hunting",0,"nonlinear",TRUE
"34",0,0,TRUE,"Hunting",0,"nonlinear",TRUE
"35",0,0,TRUE,"Hunting",0,"nonlinear",TRUE
"36",0,0,TRUE,"Hunting",0,"nonlinear",TRUE
"37",0,0,TRUE,"Hunting",0,"nonlinear",TRUE
"38",0,0,TRUE,"Hunting",0,"nonlinear",TRUE
"39",0,0,TRUE,"Hunting",0,"nonlinear",TRUE
"40",0,0,TRUE,"Hunting",0,"nonlinear",TRUE
