"","surp_p_val","prev_surp_p_val","converged","has_preview_condition","reread_condition","linear","additive_model"
"1",2.11191539204218e-145,4.45757958122203e-26,TRUE,"Gathering",0,"linear",TRUE
"2",2.62649718319678e-142,1.79175637875767e-25,TRUE,"Gathering",0,"linear",TRUE
"3",3.1997530025727e-130,1.66149773467339e-23,TRUE,"Gathering",0,"linear",TRUE
"4",2.35759630707784e-138,3.29082378656176e-23,TRUE,"Gathering",0,"linear",TRUE
"5",4.48535566665949e-150,2.74341590310281e-16,TRUE,"Gathering",0,"linear",TRUE
"6",5.32904279694414e-142,9.57614413299576e-22,TRUE,"Gathering",0,"linear",TRUE
"7",1.96281893944226e-129,2.94361818316497e-24,TRUE,"Gathering",0,"linear",TRUE
"8",2.32879113969828e-148,2.81885133324754e-22,TRUE,"Gathering",0,"linear",TRUE
"9",1.89008441119794e-128,3.64948689772815e-19,TRUE,"Gathering",0,"linear",TRUE
"10",5.51058531716295e-144,4.91778170063593e-16,TRUE,"Gathering",0,"linear",TRUE
"11",0,0,TRUE,"Gathering",0,"nonlinear",TRUE
"12",0,0,TRUE,"Gathering",0,"nonlinear",TRUE
"13",0,0,TRUE,"Gathering",0,"nonlinear",TRUE
"14",0,0,TRUE,"Gathering",0,"nonlinear",TRUE
"15",0,0,TRUE,"Gathering",0,"nonlinear",TRUE
"16",0,0,TRUE,"Gathering",0,"nonlinear",TRUE
"17",0,0,TRUE,"Gathering",0,"nonlinear",TRUE
"18",0,0,TRUE,"Gathering",0,"nonlinear",TRUE
"19",0,0,TRUE,"Gathering",0,"nonlinear",TRUE
"20",0,0,TRUE,"Gathering",0,"nonlinear",TRUE
"21",1.58898594566725e-128,2.92696835887301e-26,TRUE,"Hunting",0,"linear",TRUE
"22",1.30869723118617e-110,8.19510533179027e-22,TRUE,"Hunting",0,"linear",TRUE
"23",1.76523787351076e-94,4.01742855450616e-25,TRUE,"Hunting",0,"linear",TRUE
"24",1.37831606767253e-115,1.01233535163236e-28,TRUE,"Hunting",0,"linear",TRUE
"25",1.32905116781039e-115,2.17048505353838e-19,TRUE,"Hunting",0,"linear",TRUE
"26",8.20769577957786e-106,1.67244276128967e-24,TRUE,"Hunting",0,"linear",TRUE
"27",7.40839305957066e-118,1.39622858671272e-17,TRUE,"Hunting",0,"linear",TRUE
"28",1.24204375115737e-106,1.33004229538506e-25,TRUE,"Hunting",0,"linear",TRUE
"29",5.05898470737083e-113,9.14458922768465e-18,TRUE,"Hunting",0,"linear",TRUE
"30",1.21903983913772e-107,1.42538173344728e-17,TRUE,"Hunting",0,"linear",TRUE
"31",0,0,TRUE,"Hunting",0,"nonlinear",TRUE
"32",0,0,TRUE,"Hunting",0,"nonlinear",TRUE
"33",0,0,TRUE,"Hunting",0,"nonlinear",TRUE
"34",0,0,TRUE,"Hunting",0,"nonlinear",TRUE
"35",0,0,TRUE,"Hunting",0,"nonlinear",TRUE
"36",0,0,TRUE,"Hunting",0,"nonlinear",TRUE
"37",0,0,TRUE,"Hunting",0,"nonlinear",TRUE
"38",0,0,TRUE,"Hunting",0,"nonlinear",TRUE
"39",0,0,TRUE,"Hunting",0,"nonlinear",TRUE
"40",0,0,TRUE,"Hunting",0,"nonlinear",TRUE
