"","surp_p_val","prev_surp_p_val","converged","has_preview_condition","reread_condition","linear","additive_model"
"1",1.58057339809976e-133,1.63882832893449e-12,TRUE,"Gathering",0,"linear",TRUE
"2",2.02242055461048e-145,1.00191029769705e-17,TRUE,"Gathering",0,"linear",TRUE
"3",7.05825329389039e-125,1.27148025548125e-13,TRUE,"Gathering",0,"linear",TRUE
"4",4.60696161205326e-134,9.08674935594564e-15,TRUE,"Gathering",0,"linear",TRUE
"5",9.69652782094708e-126,4.07561888448516e-19,TRUE,"Gathering",0,"linear",TRUE
"6",7.87543032739392e-132,4.21807528228007e-18,TRUE,"Gathering",0,"linear",TRUE
"7",3.99374386285243e-136,3.2866001625475e-14,TRUE,"Gathering",0,"linear",TRUE
"8",4.05103783569447e-140,2.68684184510051e-17,TRUE,"Gathering",0,"linear",TRUE
"9",2.18043995238397e-141,5.38170148044326e-13,TRUE,"Gathering",0,"linear",TRUE
"10",9.39275492043644e-137,1.65008897965746e-17,TRUE,"Gathering",0,"linear",TRUE
"11",0,0,TRUE,"Gathering",0,"nonlinear",TRUE
"12",0,0,TRUE,"Gathering",0,"nonlinear",TRUE
"13",0,0,TRUE,"Gathering",0,"nonlinear",TRUE
"14",0,0,TRUE,"Gathering",0,"nonlinear",TRUE
"15",0,0,TRUE,"Gathering",0,"nonlinear",TRUE
"16",0,0,TRUE,"Gathering",0,"nonlinear",TRUE
"17",0,0,TRUE,"Gathering",0,"nonlinear",TRUE
"18",0,0,TRUE,"Gathering",0,"nonlinear",TRUE
"19",0,0,TRUE,"Gathering",0,"nonlinear",TRUE
"20",0,0,TRUE,"Gathering",0,"nonlinear",TRUE
"21",8.24446543912179e-94,4.79482944766917e-13,TRUE,"Hunting",0,"linear",TRUE
"22",2.80196070977059e-86,2.31505723926413e-15,TRUE,"Hunting",0,"linear",TRUE
"23",2.48747590959046e-83,3.88658872848561e-15,TRUE,"Hunting",0,"linear",TRUE
"24",2.682105021269e-82,2.8574445500186e-15,TRUE,"Hunting",0,"linear",TRUE
"25",4.84975506989549e-78,1.41270842156629e-13,TRUE,"Hunting",0,"linear",TRUE
"26",7.72392887129271e-91,4.54713232729e-21,TRUE,"Hunting",0,"linear",TRUE
"27",7.40268703726524e-92,1.39952037587643e-14,TRUE,"Hunting",0,"linear",TRUE
"28",2.91224344491472e-97,1.47180459753135e-13,TRUE,"Hunting",0,"linear",TRUE
"29",4.35973696549944e-91,3.21866054639007e-13,TRUE,"Hunting",0,"linear",TRUE
"30",6.55635539129202e-79,4.74437180087952e-13,TRUE,"Hunting",0,"linear",TRUE
"31",0,0,TRUE,"Hunting",0,"nonlinear",TRUE
"32",0,0,TRUE,"Hunting",0,"nonlinear",TRUE
"33",0,0,TRUE,"Hunting",0,"nonlinear",TRUE
"34",0,0,TRUE,"Hunting",0,"nonlinear",TRUE
"35",0,0,TRUE,"Hunting",0,"nonlinear",TRUE
"36",0,0,TRUE,"Hunting",0,"nonlinear",TRUE
"37",0,0,TRUE,"Hunting",0,"nonlinear",TRUE
"38",0,0,TRUE,"Hunting",0,"nonlinear",TRUE
"39",0,0,TRUE,"Hunting",0,"nonlinear",TRUE
"40",0,0,TRUE,"Hunting",0,"nonlinear",TRUE
