"","surp_p_val","prev_surp_p_val","converged","has_preview_condition","reread_condition","linear","additive_model"
"1",3.10051932998453e-113,4.43766926630396e-22,TRUE,"Gathering",0,"linear",TRUE
"2",2.80532129121555e-145,9.11539816121003e-22,TRUE,"Gathering",0,"linear",TRUE
"3",4.04041234698503e-119,5.11745277899165e-23,TRUE,"Gathering",0,"linear",TRUE
"4",2.46288508884789e-123,8.18504067430637e-19,TRUE,"Gathering",0,"linear",TRUE
"5",2.48641439053514e-136,1.3971654756497e-25,TRUE,"Gathering",0,"linear",TRUE
"6",1.6193745089165e-131,1.99919417980658e-27,TRUE,"Gathering",0,"linear",TRUE
"7",3.4032997375195e-152,6.85403590100551e-29,TRUE,"Gathering",0,"linear",TRUE
"8",4.40764649855558e-128,3.52760481962773e-26,TRUE,"Gathering",0,"linear",TRUE
"9",7.47201176116469e-120,1.95624582970322e-20,TRUE,"Gathering",0,"linear",TRUE
"10",2.2141742916976e-120,5.15108164316499e-26,TRUE,"Gathering",0,"linear",TRUE
"11",0,0,TRUE,"Gathering",0,"nonlinear",TRUE
"12",0,0,TRUE,"Gathering",0,"nonlinear",TRUE
"13",0,0,TRUE,"Gathering",0,"nonlinear",TRUE
"14",0,0,TRUE,"Gathering",0,"nonlinear",TRUE
"15",0,0,TRUE,"Gathering",0,"nonlinear",TRUE
"16",0,0,TRUE,"Gathering",0,"nonlinear",TRUE
"17",0,0,TRUE,"Gathering",0,"nonlinear",TRUE
"18",0,0,TRUE,"Gathering",0,"nonlinear",TRUE
"19",0,0,TRUE,"Gathering",0,"nonlinear",TRUE
"20",0,0,TRUE,"Gathering",0,"nonlinear",TRUE
"21",3.857750627605e-65,9.92745293439425e-26,TRUE,"Hunting",0,"linear",TRUE
"22",7.44345796368658e-73,8.26951968032401e-24,TRUE,"Hunting",0,"linear",TRUE
"23",3.72904349438806e-90,1.25737426116433e-25,TRUE,"Hunting",0,"linear",TRUE
"24",2.009189449831e-89,1.04650114226253e-27,TRUE,"Hunting",0,"linear",TRUE
"25",6.03846117461703e-89,1.72866777172806e-22,TRUE,"Hunting",0,"linear",TRUE
"26",6.66469006456997e-89,3.63115794984791e-30,TRUE,"Hunting",0,"linear",TRUE
"27",9.52382025929556e-91,3.89466348960329e-27,TRUE,"Hunting",0,"linear",TRUE
"28",2.38205356816221e-85,6.16993187408345e-21,TRUE,"Hunting",0,"linear",TRUE
"29",2.00485142245376e-89,2.10539043063787e-22,TRUE,"Hunting",0,"linear",TRUE
"30",1.82518259981147e-86,4.38554206040949e-26,TRUE,"Hunting",0,"linear",TRUE
"31",0,0,TRUE,"Hunting",0,"nonlinear",TRUE
"32",0,0,TRUE,"Hunting",0,"nonlinear",TRUE
"33",0,0,TRUE,"Hunting",0,"nonlinear",TRUE
"34",0,0,TRUE,"Hunting",0,"nonlinear",TRUE
"35",0,0,TRUE,"Hunting",0,"nonlinear",TRUE
"36",0,0,TRUE,"Hunting",0,"nonlinear",TRUE
"37",0,0,TRUE,"Hunting",0,"nonlinear",TRUE
"38",0,0,TRUE,"Hunting",0,"nonlinear",TRUE
"39",0,0,TRUE,"Hunting",0,"nonlinear",TRUE
"40",0,0,TRUE,"Hunting",0,"nonlinear",TRUE
