"","surp_p_val","prev_surp_p_val","converged","has_preview_condition","reread_condition","linear","additive_model"
"1",2.30678815919279e-177,1.63709234598614e-22,TRUE,"Gathering",0,"linear",TRUE
"2",4.48727362780266e-190,1.64268047478167e-31,TRUE,"Gathering",0,"linear",TRUE
"3",8.74830973907525e-187,1.33916020049515e-20,TRUE,"Gathering",0,"linear",TRUE
"4",3.32823664930109e-182,6.6016619801971e-22,TRUE,"Gathering",0,"linear",TRUE
"5",1.34033939012234e-167,2.87958513165499e-23,TRUE,"Gathering",0,"linear",TRUE
"6",5.05569403629937e-177,7.87560762287069e-26,TRUE,"Gathering",0,"linear",TRUE
"7",1.02823412620633e-173,7.51903988839064e-18,TRUE,"Gathering",0,"linear",TRUE
"8",1.71197079110567e-171,1.14316286512391e-26,TRUE,"Gathering",0,"linear",TRUE
"9",9.77970418469101e-192,1.14272186081026e-18,TRUE,"Gathering",0,"linear",TRUE
"10",1.38558988506002e-194,1.3313576831765e-21,TRUE,"Gathering",0,"linear",TRUE
"11",0,0,TRUE,"Gathering",0,"nonlinear",TRUE
"12",0,0,TRUE,"Gathering",0,"nonlinear",TRUE
"13",0,0,TRUE,"Gathering",0,"nonlinear",TRUE
"14",0,0,TRUE,"Gathering",0,"nonlinear",TRUE
"15",0,0,TRUE,"Gathering",0,"nonlinear",TRUE
"16",0,0,TRUE,"Gathering",0,"nonlinear",TRUE
"17",0,0,TRUE,"Gathering",0,"nonlinear",TRUE
"18",0,0,TRUE,"Gathering",0,"nonlinear",TRUE
"19",0,0,TRUE,"Gathering",0,"nonlinear",TRUE
"20",0,0,TRUE,"Gathering",0,"nonlinear",TRUE
"21",2.53878152612274e-117,4.53718140733318e-27,TRUE,"Hunting",0,"linear",TRUE
"22",3.36249893286746e-119,1.26944354383901e-25,TRUE,"Hunting",0,"linear",TRUE
"23",5.79268968115967e-111,9.23594418649793e-25,TRUE,"Hunting",0,"linear",TRUE
"24",3.88100017124905e-111,6.65741521342527e-31,TRUE,"Hunting",0,"linear",TRUE
"25",5.43845862272621e-113,2.04359761392948e-26,TRUE,"Hunting",0,"linear",TRUE
"26",1.19090822486508e-126,8.47336897499249e-19,TRUE,"Hunting",0,"linear",TRUE
"27",6.88433947434068e-115,7.208326690158e-27,TRUE,"Hunting",0,"linear",TRUE
"28",3.63765542168176e-106,9.07078656028868e-24,TRUE,"Hunting",0,"linear",TRUE
"29",6.92171055989349e-114,3.14997221763208e-34,TRUE,"Hunting",0,"linear",TRUE
"30",6.72382618587667e-118,9.57012739675531e-36,TRUE,"Hunting",0,"linear",TRUE
"31",0,0,TRUE,"Hunting",0,"nonlinear",TRUE
"32",0,0,TRUE,"Hunting",0,"nonlinear",TRUE
"33",0,0,TRUE,"Hunting",0,"nonlinear",TRUE
"34",0,0,TRUE,"Hunting",0,"nonlinear",TRUE
"35",0,0,TRUE,"Hunting",0,"nonlinear",TRUE
"36",0,0,TRUE,"Hunting",0,"nonlinear",TRUE
"37",0,0,TRUE,"Hunting",0,"nonlinear",TRUE
"38",0,0,TRUE,"Hunting",0,"nonlinear",TRUE
"39",0,0,TRUE,"Hunting",0,"nonlinear",TRUE
"40",0,0,TRUE,"Hunting",0,"nonlinear",TRUE
