"","surp_p_val","prev_surp_p_val","converged","has_preview_condition","reread_condition","linear","additive_model"
"1",1.08843805965671e-151,3.42676664505728e-21,TRUE,"Gathering",0,"linear",TRUE
"2",2.90453029842801e-149,6.32579895292277e-30,TRUE,"Gathering",0,"linear",TRUE
"3",2.46265978598169e-157,2.34902112468155e-30,TRUE,"Gathering",0,"linear",TRUE
"4",2.96423559386446e-155,2.51254617882874e-31,TRUE,"Gathering",0,"linear",TRUE
"5",1.76720264131401e-162,2.57124827677747e-24,TRUE,"Gathering",0,"linear",TRUE
"6",1.17632563998168e-165,3.08826415850075e-34,TRUE,"Gathering",0,"linear",TRUE
"7",1.89207972057801e-160,5.39694495524711e-27,TRUE,"Gathering",0,"linear",TRUE
"8",3.19973814267045e-154,2.80643986151022e-23,TRUE,"Gathering",0,"linear",TRUE
"9",2.20986038525145e-161,6.45451871340321e-23,TRUE,"Gathering",0,"linear",TRUE
"10",3.00238832710818e-180,1.44854657526225e-25,TRUE,"Gathering",0,"linear",TRUE
"11",0,0,TRUE,"Gathering",0,"nonlinear",TRUE
"12",0,0,TRUE,"Gathering",0,"nonlinear",TRUE
"13",0,0,TRUE,"Gathering",0,"nonlinear",TRUE
"14",0,0,TRUE,"Gathering",0,"nonlinear",TRUE
"15",0,0,TRUE,"Gathering",0,"nonlinear",TRUE
"16",0,0,TRUE,"Gathering",0,"nonlinear",TRUE
"17",0,0,TRUE,"Gathering",0,"nonlinear",TRUE
"18",0,0,TRUE,"Gathering",0,"nonlinear",TRUE
"19",0,0,TRUE,"Gathering",0,"nonlinear",TRUE
"20",0,0,TRUE,"Gathering",0,"nonlinear",TRUE
"21",3.25096811024745e-16,0.595801905400054,TRUE,"Gathering",1,"linear",TRUE
"22",1.60822322648861e-19,0.256551209847241,TRUE,"Gathering",1,"linear",TRUE
"23",8.7115135628081e-13,0.424553304982732,TRUE,"Gathering",1,"linear",TRUE
"24",5.12748544764443e-19,0.793355286186215,TRUE,"Gathering",1,"linear",TRUE
"25",2.26222075787389e-12,0.0167337488831165,TRUE,"Gathering",1,"linear",TRUE
"26",1.20928176491707e-20,0.0784170022011041,TRUE,"Gathering",1,"linear",TRUE
"27",8.36263585723996e-18,0.0104059365441342,TRUE,"Gathering",1,"linear",TRUE
"28",1.25928600001355e-18,0.417695424923949,TRUE,"Gathering",1,"linear",TRUE
"29",7.10182740714846e-17,0.0283384556260202,TRUE,"Gathering",1,"linear",TRUE
"30",3.47704720372425e-16,0.0135354971042012,TRUE,"Gathering",1,"linear",TRUE
"31",0,0.000908067774453292,TRUE,"Gathering",1,"nonlinear",TRUE
"32",0,0.000405339384990544,TRUE,"Gathering",1,"nonlinear",TRUE
"33",0,0,TRUE,"Gathering",1,"nonlinear",TRUE
"34",0,5.73315903590332e-06,TRUE,"Gathering",1,"nonlinear",TRUE
"35",0,0.0380296932687408,TRUE,"Gathering",1,"nonlinear",TRUE
"36",0,0.000282797028585857,TRUE,"Gathering",1,"nonlinear",TRUE
"37",0,6.70516968526158e-06,TRUE,"Gathering",1,"nonlinear",TRUE
"38",0,3.43129772227835e-05,TRUE,"Gathering",1,"nonlinear",TRUE
"39",0,0.0506617961054308,TRUE,"Gathering",1,"nonlinear",TRUE
"40",0,0.00154094708661706,TRUE,"Gathering",1,"nonlinear",TRUE
"41",6.62156456282484e-92,1.95125798064257e-27,TRUE,"Hunting",0,"linear",TRUE
"42",5.85389157138499e-95,2.19422686482515e-25,TRUE,"Hunting",0,"linear",TRUE
"43",6.32828686936343e-91,1.52477204631978e-24,TRUE,"Hunting",0,"linear",TRUE
"44",3.01197997690528e-104,7.78012166691916e-24,TRUE,"Hunting",0,"linear",TRUE
"45",2.47159496568948e-96,1.71583774556974e-31,TRUE,"Hunting",0,"linear",TRUE
