"","surp_p_val","prev_surp_p_val","converged","has_preview_condition","reread_condition","linear","additive_model"
"1",1.83032939339732e-174,7.12226079929505e-31,TRUE,"Gathering",0,"linear",TRUE
"2",7.43214687667311e-195,1.81161456207853e-23,TRUE,"Gathering",0,"linear",TRUE
"3",1.33226659562199e-197,1.81162306977122e-31,TRUE,"Gathering",0,"linear",TRUE
"4",1.3571440748611e-168,1.15224231994738e-24,TRUE,"Gathering",0,"linear",TRUE
"5",7.57571565845745e-166,1.73897941350142e-26,TRUE,"Gathering",0,"linear",TRUE
"6",4.0838372278505e-177,1.32540848170818e-32,TRUE,"Gathering",0,"linear",TRUE
"7",2.36302743055332e-173,3.04694522206034e-25,TRUE,"Gathering",0,"linear",TRUE
"8",9.67925663412695e-163,5.71846799679163e-26,TRUE,"Gathering",0,"linear",TRUE
"9",3.99875986310893e-179,1.49962825163035e-29,TRUE,"Gathering",0,"linear",TRUE
"10",3.96644818922111e-184,5.17774874733167e-25,TRUE,"Gathering",0,"linear",TRUE
"11",0,0,TRUE,"Gathering",0,"nonlinear",TRUE
"12",0,0,TRUE,"Gathering",0,"nonlinear",TRUE
"13",0,0,TRUE,"Gathering",0,"nonlinear",TRUE
"14",0,0,TRUE,"Gathering",0,"nonlinear",TRUE
"15",0,0,TRUE,"Gathering",0,"nonlinear",TRUE
"16",0,0,TRUE,"Gathering",0,"nonlinear",TRUE
"17",0,0,TRUE,"Gathering",0,"nonlinear",TRUE
"18",0,0,TRUE,"Gathering",0,"nonlinear",TRUE
"19",0,0,TRUE,"Gathering",0,"nonlinear",TRUE
"20",0,0,TRUE,"Gathering",0,"nonlinear",TRUE
"21",5.12626217229593e-21,0.024545362971705,TRUE,"Gathering",1,"linear",TRUE
"22",2.359167881559e-14,0.0071178481643225,TRUE,"Gathering",1,"linear",TRUE
"23",1.0999087063401e-16,0.000447109410393796,TRUE,"Gathering",1,"linear",TRUE
"24",5.02724918247246e-18,0.000897483246885652,TRUE,"Gathering",1,"linear",TRUE
"25",4.18852619345873e-17,0.17272850739831,TRUE,"Gathering",1,"linear",TRUE
"26",4.81777003925431e-21,0.0530353821321043,TRUE,"Gathering",1,"linear",TRUE
"27",1.08274118358187e-17,0.0221300502221373,TRUE,"Gathering",1,"linear",TRUE
"28",1.36168039933152e-17,0.0175463446310326,TRUE,"Gathering",1,"linear",TRUE
"29",1.10628286299438e-18,0.145776242861076,TRUE,"Gathering",1,"linear",TRUE
"30",1.52977466490738e-20,0.0360346301000222,TRUE,"Gathering",1,"linear",TRUE
"31",0,0.190936135504903,TRUE,"Gathering",1,"nonlinear",TRUE
"32",0,6.49946391345635e-06,TRUE,"Gathering",1,"nonlinear",TRUE
"33",0,0.0565672606242052,TRUE,"Gathering",1,"nonlinear",TRUE
"34",0,0.00799652422509611,TRUE,"Gathering",1,"nonlinear",TRUE
"35",0,0.00507895383168733,TRUE,"Gathering",1,"nonlinear",TRUE
"36",0,0.00737546858849714,TRUE,"Gathering",1,"nonlinear",TRUE
"37",0,0.0020289596508653,TRUE,"Gathering",1,"nonlinear",TRUE
"38",0,0.00869072720037717,TRUE,"Gathering",1,"nonlinear",TRUE
"39",0,3.63707097511545e-06,TRUE,"Gathering",1,"nonlinear",TRUE
"40",0,0.00180191889234749,TRUE,"Gathering",1,"nonlinear",TRUE
"41",1.85566699157353e-116,4.97170312285373e-34,TRUE,"Hunting",0,"linear",TRUE
"42",5.34719276845285e-101,9.65091467547385e-38,TRUE,"Hunting",0,"linear",TRUE
"43",1.66485571351837e-106,5.87333301368045e-30,TRUE,"Hunting",0,"linear",TRUE
"44",1.37393610295604e-115,3.38545791725061e-25,TRUE,"Hunting",0,"linear",TRUE
"45",1.98046012629378e-121,1.71197901848269e-33,TRUE,"Hunting",0,"linear",TRUE
"46",4.71533802696865e-117,4.68545208510235e-33,TRUE,"Hunting",0,"linear",TRUE
"47",9.29870733918335e-112,1.1435256347217e-36,TRUE,"Hunting",0,"linear",TRUE
"48",1.4569853678759e-108,9.56117994874414e-33,TRUE,"Hunting",0,"linear",TRUE
"49",5.90214389246285e-111,4.30388913903786e-33,TRUE,"Hunting",0,"linear",TRUE
"50",3.29382650836613e-95,5.545518365829e-34,TRUE,"Hunting",0,"linear",TRUE
"51",0,0,TRUE,"Hunting",0,"nonlinear",TRUE
"52",0,0,TRUE,"Hunting",0,"nonlinear",TRUE
"53",0,0,TRUE,"Hunting",0,"nonlinear",TRUE
"54",0,0,TRUE,"Hunting",0,"nonlinear",TRUE
"55",0,0,TRUE,"Hunting",0,"nonlinear",TRUE
"56",0,0,TRUE,"Hunting",0,"nonlinear",TRUE
"57",0,0,TRUE,"Hunting",0,"nonlinear",TRUE
"58",0,0,TRUE,"Hunting",0,"nonlinear",TRUE
"59",0,0,TRUE,"Hunting",0,"nonlinear",TRUE
"60",0,0,TRUE,"Hunting",0,"nonlinear",TRUE
"61",1.0847583457648e-05,0.365127517094948,TRUE,"Hunting",1,"linear",TRUE
"62",1.89733811550574e-07,0.066333235638167,TRUE,"Hunting",1,"linear",TRUE
"63",8.36812797687321e-05,0.90654192927271,TRUE,"Hunting",1,"linear",TRUE
"64",5.01546126538923e-07,0.423120162018118,TRUE,"Hunting",1,"linear",TRUE
"65",3.11476743132256e-07,0.810758901221306,TRUE,"Hunting",1,"linear",TRUE
"66",9.40794062526248e-06,0.268106477991142,TRUE,"Hunting",1,"linear",TRUE
"67",3.61914238941948e-06,0.957737337585973,TRUE,"Hunting",1,"linear",TRUE
"68",3.19004884180603e-06,0.0644115828714719,TRUE,"Hunting",1,"linear",TRUE
"69",2.3904733317856e-05,0.799406785027024,TRUE,"Hunting",1,"linear",TRUE
"70",6.03314374602666e-05,0.0578532247110188,TRUE,"Hunting",1,"linear",TRUE
"71",0.000307780086673981,0.10525038352176,TRUE,"Hunting",1,"nonlinear",TRUE
