"","surp_p_val","prev_surp_p_val","converged","has_preview_condition","reread_condition","linear","additive_model"
"1",4.09025400199513e-186,1.2407762649766e-23,TRUE,"Gathering",0,"linear",TRUE
"2",1.34304703916236e-180,6.58177079454613e-29,TRUE,"Gathering",0,"linear",TRUE
"3",1.09784321087108e-181,4.42249662351755e-24,TRUE,"Gathering",0,"linear",TRUE
"4",7.58885255506209e-188,1.50451850814793e-31,TRUE,"Gathering",0,"linear",TRUE
"5",8.07646884314245e-160,1.4610270421931e-27,TRUE,"Gathering",0,"linear",TRUE
"6",1.23346894810466e-196,7.26448775224546e-29,TRUE,"Gathering",0,"linear",TRUE
"7",4.79408254479439e-187,2.15822715765837e-28,TRUE,"Gathering",0,"linear",TRUE
"8",1.43921752234532e-184,3.09297982505123e-26,TRUE,"Gathering",0,"linear",TRUE
"9",1.45206646615071e-177,6.99161283186461e-26,TRUE,"Gathering",0,"linear",TRUE
"10",1.75051987059891e-180,1.04371057053751e-30,TRUE,"Gathering",0,"linear",TRUE
"11",0,0,TRUE,"Gathering",0,"nonlinear",TRUE
"12",0,0,TRUE,"Gathering",0,"nonlinear",TRUE
"13",0,0,TRUE,"Gathering",0,"nonlinear",TRUE
"14",0,0,TRUE,"Gathering",0,"nonlinear",TRUE
"15",0,0,TRUE,"Gathering",0,"nonlinear",TRUE
"16",0,0,TRUE,"Gathering",0,"nonlinear",TRUE
"17",0,0,TRUE,"Gathering",0,"nonlinear",TRUE
"18",0,0,TRUE,"Gathering",0,"nonlinear",TRUE
"19",0,0,TRUE,"Gathering",0,"nonlinear",TRUE
"20",0,0,TRUE,"Gathering",0,"nonlinear",TRUE
"21",9.57568511440576e-20,0.0521414867394368,TRUE,"Gathering",1,"linear",TRUE
"22",9.50145866853508e-16,0.00369878820580326,TRUE,"Gathering",1,"linear",TRUE
"23",7.179213008208e-21,0.06319263328748,TRUE,"Gathering",1,"linear",TRUE
"24",6.92845575492906e-18,0.0904236778845302,TRUE,"Gathering",1,"linear",TRUE
"25",1.52869954550705e-16,0.0187937303516818,TRUE,"Gathering",1,"linear",TRUE
"26",8.93294334848773e-18,0.0184003576277595,TRUE,"Gathering",1,"linear",TRUE
"27",4.4261411396035e-16,0.15135069444469,TRUE,"Gathering",1,"linear",TRUE
"28",6.80531121405417e-15,0.0896823047577342,TRUE,"Gathering",1,"linear",TRUE
"29",3.13044044214351e-18,0.00168079065848473,TRUE,"Gathering",1,"linear",TRUE
"30",2.78849589014458e-12,0.0314364671031087,TRUE,"Gathering",1,"linear",TRUE
"31",0,0.000288769294425784,TRUE,"Gathering",1,"nonlinear",TRUE
"32",0,8.38478794001896e-05,TRUE,"Gathering",1,"nonlinear",TRUE
"33",0,0.00331173612847968,TRUE,"Gathering",1,"nonlinear",TRUE
"34",0,0.0240888026324002,TRUE,"Gathering",1,"nonlinear",TRUE
"35",0,0.134283228053048,TRUE,"Gathering",1,"nonlinear",TRUE
"36",0,0.00272583269450577,TRUE,"Gathering",1,"nonlinear",TRUE
"37",0,0.0544964874715165,TRUE,"Gathering",1,"nonlinear",TRUE
"38",0,0.00496213462003808,TRUE,"Gathering",1,"nonlinear",TRUE
"39",0,0.00119225122163125,TRUE,"Gathering",1,"nonlinear",TRUE
"40",0,0.0375141477144132,TRUE,"Gathering",1,"nonlinear",TRUE
"41",1.81660803895953e-103,2.97093307457224e-33,TRUE,"Hunting",0,"linear",TRUE
"42",7.40316310580742e-125,2.00933250111004e-29,TRUE,"Hunting",0,"linear",TRUE
"43",1.38238219769496e-120,4.63005107437972e-29,TRUE,"Hunting",0,"linear",TRUE
"44",8.82861837582518e-124,4.15682785106689e-34,TRUE,"Hunting",0,"linear",TRUE
